id_komentar,nama_akun,tanggal,text_cleaning,sentimen
Ugym8DQyKPAzJntZCeZ4AaABAg,Deddy jagad semesta,2023-07-20 07:40:34+00:00,tambah bikin rakyat susah,2
UgxgCpUNJ5kpih1J6fN4AaABAg,Kris ND,2023-07-17 06:33:24+00:00,ekosistem siap malah maksain suruh beli kendara   sesuai banget,0
UgxFMeOytVzzJo6iy5F4AaABAg,TopTrainers,2023-07-16 06:30:59+00:00,jual ev naik jual genset bakal naik ni,0
UgxcvX9LMnprk35PR3d4AaABAg,parkir anovo,2023-07-13 05:17:26+00:00,contohin dulu semua menteri dpr mpr guna listri,1
UgzeccWl2H7OLv0hhI54AaABAg,Ida satya Ananda,2023-07-13 04:49:15+00:00,sedia station charging masalah   motor   rame   notaben sering pake jalan jauh was was habis batre   sation ribet   motor paling pake komplek,1
UgwYT_PmnyAsk3O3dip4AaABAg,Benny Wicaksono,2023-07-12 07:45:19+00:00,subsidi bbm cabut mahal trus muncul si bilang hemat sih analogi okok non okok banyak teori     rokok hari sekian bulan sekian tahun kebel nmax fakta     rokok   kebel motor  tetap    sama kredit biarpun   rokok   kumpul duit segitu pake bbm keluar biaya sekian biaya perawan dahulu tahun sekian juta   pake cuma sekian,1
Ugz6oZ8eFg8_9QCkfHx4AaABAg,Ary Nawan,2023-07-12 06:29:27+00:00,harga sperpartnya,0
Ugw4c0eMIKC1XcKtYa14AaABAg,Zar,2023-07-11 15:18:15+00:00,ev msih nyaman dsni   dipaksain paling hanyaan jabodetabek kota besar provinsi   tahan beli dahuluu skalian nunggu sodium battery solidstate battery,0
Ugxnals4WC_p0IuGVsB4AaABAg,agung nugroho,2023-07-11 14:14:22+00:00,nungguin ganti lithium solid state battery rilis resmi,0
UgztaWg5eBCTHJUotox4AaABAg,ANWAR A,2023-07-11 13:44:22+00:00,dukung terus doa negara makmur produksi sndirikan,0
UgwAD3ZeI8HU7tJghSZ4AaABAg,RandomWM,2023-07-10 13:16:11+00:00,suat   baru kata   jaman dahuluu kala efisien tinggal ngerepotin efisien mahal mudah rusak beda brand beda bentuk baterai beda bentuk power outlet beda besar baterai dahulu,0
Ugz4NDNw8nbSFfxM8354AaABAg,Nicky Anderson,2023-07-09 23:40:18+00:00,pake atur   buat jadi laku   larang bahkan ancam pidana   jual beli   non listtik gampang,1
UgwpTFEpxjsXFSKYaV14AaABAg,yudhi mypras,2023-07-09 22:51:21+00:00,  masyarakat ingin harga jual batre   murah baru mau beli,0
Ugxm86L-s7nkGvFeGhd4AaABAg,Putra Perdana,2023-07-09 09:53:45+00:00,aneh banget subsidi kendara pribadi pake anggar negara bayar usaha malah dorong program ada ev buat jabat ngasih duit buat kkn proyek ada ev jabat   punya saham usaha sembari dapet baru pake anggar negara   dapat ras duit pajak masyarakat kecil padahal transportasi publik sendiri pada cuman jakarta kota kota   bantu   dorong kembang layan transportasi publik rata nih padahal ahli kota nyata bijak solid transportasi publik turun macet hingga efisiensi sistem gera kota lebih tepat waktu kendara jalan lebih efisien warga kecil nikmat akhir gera ekonomi lebih lancar akibat lain kurang polusi fasilitas dukung transport publik tingkat trotoar lebar lahan pkl rapi toko pinggir jalan hidup dahulu masyarakat kecil lebih banyak sempat buka usaha jalan   banyak lalu transportasi publik sebab semua susah jadi paragraf ,1
UgyPievX3l_ypHtbo2B4AaABAg,Erama Gh25,2023-07-07 13:25:38+00:00,    beli cuma   duidnya bgsd,1
UgySOUPyxBMGjbHozah4AaABAg,MercyMe,2023-07-07 11:16:57+00:00,infrastruktur bom pada harga unit mahal,1
Ugwp4q-M41KTZ4GawjF4AaABAg,Inta,2023-07-07 03:56:45+00:00,coba cek jabat staf ngomong soal sehariya pakai,1
Ugx5hI92vUPSncyzjoZ4AaABAg,MMD DS,2023-07-06 22:35:49+00:00,musim hujan banjir kek bahaya pake awat ribet ganti baterai mahal,1
UgxlZXQ5ENzAv5BuvV14AaABAg,Sky Editing Batam,2023-07-06 16:16:15+00:00,yakin masyarakat alih apabila harga sama bahan bakar fosil produsen beri wajib produksi bentuk   sama bahan bakar fosil biasa produksi buat versi   murah ukur kecil ingat masyarakat beli mayoritas beli kendara bawa keluarga,1
Ugx8_EzV1yvHhp0hK-V4AaABAg,Abner Moses,2023-07-06 11:38:46+00:00,lama bensin   laku harga lebih mahal,0
UgyliI-ZU8DsDwAYXbV4AaABAg,Midhian Subekti,2023-07-06 10:22:07+00:00,bukan   mau beli terlalu mahal,1
UgwLp2Ai329bzdpRV2x4AaABAg,axel & yola,2023-07-06 07:38:12+00:00,teknologi baru developnya sempurna mesin bensin oke develop   uda ratus tahun kuatir mirip hnphone pakai tahun batre   kembung batre drop ev kerja sama ama rakkipanda viz oke sih,0
Ugz15XcYwVifRXEi_ix4AaABAg,Willoughbia elmerii,2023-07-06 05:48:21+00:00,lebih efisien   beli   duit mau korupsi  ,0
Ugwvfthm39DfWlZ5vn14AaABAg,calon pengkhianat,2023-07-06 05:23:11+00:00,proyek ambisius   gagal total,1
UgyIQSTuXSuVyIE3jjJ4AaABAg,Bun pie Ang,2023-07-06 04:42:29+00:00,tempat chas tambah,2
UgxyIZFWsg81fFnfZ9V4AaABAg,Boby rico,2023-07-06 03:40:30+00:00,hayo bingung iru punya,0
Ugz1STFVIyQaVM-3gV54AaABAg,Cristalwrap,2023-07-06 03:17:04+00:00,omong kosong berita mantap fakta zero,1
UgyWh6o1hmq0fQPLpVN4AaABAg,Budiman Tedja Saputra,2023-07-06 03:14:39+00:00,banyak bahas efisiensi kurang polusi udara ceo toyota produksi cemar udara toyota usai buat bagaimana capai jabat level ceo usaha,1
Ugyb9HTgrB3QUknxcGR4AaABAg,Indra Fahri ( shadow TV MAN ),2023-07-06 02:57:10+00:00,iya   jalan sering banget ketemu kendara jalan,0
UgwhfeyoAqCQWJ59_4J4AaABAg,gameoff,2023-07-06 01:20:11+00:00,mending turu punya malah iklan ampun gusti,0
UgxWf81-u7NhKzyBgOt4AaABAg,Eddy Jocom,2023-07-06 00:38:54+00:00,apa rakyat mau chanel apa,1
UgxuEqopgIM6KhiG5fJ4AaABAg,The Reaction,2023-07-05 23:57:57+00:00,harga jual   mahal banding kendara biasa gimana masyarakat mau beli,0
UgzG1sXCLt63teKgxoJ4AaABAg,MBOH YO,2023-07-05 23:46:06+00:00,jelas dunia butuh kendara bas dunia butuh energi baru   nyinyir go to hel   kalian,1
UgwhbcLUiUjs1WPd_Ih4AaABAg,Kenedi Kenedi,2023-07-05 23:18:33+00:00,rakyat dong pikir jangan bisdis   hitung hitung rugi rakyat dakkayak,1
UgypKmila4jVWabelJl4AaABAg,Dcdi Wizaya OFFICIAL,2023-07-05 22:20:00+00:00, sulit hidup promosi monopoli naik harga bensin liat irit padahal sulit,0
Ugxz19MikisEhyhff_14AaABAg,Queen Allena,2023-07-05 17:45:43+00:00,modelenya krg bagus  semua ,1
UgwEa5gyZoE9wyUz7oF4AaABAg,Rich Akkisimo,2023-07-05 16:02:13+00:00,nama beli kendara ulang ulang bbm   pakai puluh tahun rusak   baik dikit sekali rusak keluar uang   harga baru batterynya ampun sulit jangka dekat mungkin tahun,1
UgzmiDCAg6Vyo2poGqp4AaABAg,Anggel Prameswari,2023-07-05 15:06:19+00:00,ngeri ges gharga baterainyah buat nambah bini kuda,1
UgyoJ-ZI85tr4Nv9ipB4AaABAg,Perspektif,2023-07-05 14:51:55+00:00,stop bbm kelar urus simple,0
UgxoTNiMFpQdGUCpTXV4AaABAg,ahmad 318,2023-07-05 14:51:00+00:00,hybrid,2
UgxBinhgKJAiH-r2k_14AaABAg,victimov talent,2023-07-05 11:42:46+00:00,mulai deh maen paksa dn ancam mental kolonial,1
UgyywrBurkzTniU4jRZ4AaABAg,Harry 吴友丰 Wu YouFeng,2023-07-05 10:53:20+00:00,sedia dulu wc tempat berak  jangan  udh mau berak baru siap biasa sih mnrt negara rncakan matang dahulu sbelum jalan terima   baru masa  lebih  pintar kalian   das sih kyknya  ,1
UgwkqFdRiNkADbuyKUt4AaABAg,Heidhou,2023-07-05 10:47:18+00:00,kendara kendara kota keluar kota mikir otomatis punya kendara   tenang luar kota arti unit rumah ngk semua rakyat indonesia mampu beli unit harga murah mesin ken,1
UgwX7cskjni__snPest4AaABAg,INFO KINI CHANNEL,2023-07-05 07:53:21+00:00,harga mahal murah konvensional   harga bawah konvensional laku keras,0
Ugzoya9EiqFkrcd4_iF4AaABAg,easy simple,2023-07-05 07:10:23+00:00,bagi gratis pajak umur hidup siap terima senang hati,0
UgwoArUw4TcHprDN1VB4AaABAg,Rangga Gunawan Putra,2023-07-05 06:12:52+00:00,juta bawah bukan harga jangkau orang mikir beli ev harga juta cuma ukur agya harga agya sendiri jauh bawah   ev mau laku gampang bikin harga jual mirip sama harga lcgc,0
UgwA-l5Kyt9Ifqrjnid4AaABAg,Arief P,2023-07-05 05:24:47+00:00,analisa masyarakat malas beli tidakut habis baterai jalan keluar kota banyak stasiun isi baterai masalah servicenya nunggu bulan bulan garansi bentuk bagus sangat mahal mending beli mercy bmw harga lebih murah sama bentuk mewah harga murah bentuk kecil aneh mending beli avanza xpander veloz harga lebih murah,1
UgxeKdtX2B5rp2QzCfN4AaABAg,AutoPilotX,2023-07-05 03:00:15+00:00,cnbc semua kantor berita asing mau coba goyang indonesia bawa rakyat gerah  lihat  jokowi   atur kayak presiden belum jual kokain   kalian rakyat kalian kerja cia dulu as senjata tukar kokain era contras made in as nikaragua rakyat kalian zombi kensington pensylvania,1
Ugx8eZC07EipH0l9DgZ4AaABAg,Nasib Telaumbanua,2023-07-05 02:48:08+00:00,anggota dpr muat alas rakya kecil padahal demokrat korupsi besar besar,1
UgzdfTVBqvTNLzwcdvN4AaABAg,Pradana,2023-07-05 02:30:54+00:00,bukan   laku mahal,1
Ugz0BnS94Xo5FkCo6154AaABAg,didis didis,2023-07-05 02:03:18+00:00,fasilitas buat ngecas bangun dulu baru jual unit,1
Ugz73rmR27FUxPnLAlB4AaABAg,fahriadi,2023-07-05 01:24:58+00:00,jalan   banyak     mulus,1
Ugw5qs1lYqeVVHxHYtF4AaABAg,Herry Lubis,2023-07-05 01:04:59+00:00,batrenya mahal   rusak,2
UgzDho6rGhG98NJUlN54AaABAg,GS GAMING,2023-07-05 00:55:23+00:00,lama harga saing sama bahan bakar fosil mitigasi stasiun charge mitigasi jadi antri panjang waktu isi waktu charge isi bbm kendara fosil jangan harap banyak minat milik perintah pakai jalan pintas biasa kurang kreatif contoh kereta parahyangan mati orang pindah kereta cepat terbang komersil bandara husein mati orang mau pindah kertajati jalan pintas pakai buat atur wajib dealer jual rasio kendara fosil jual jual langgar dapat beban pajak lain,1
Ugw1GSvb1nmOvQtt9kJ4AaABAg,Umberto Verbita,2023-07-05 00:08:32+00:00,naik pajak setinggi langit guna bahan bakar fossil naik harga bbm setinggi langit masyarakat alih,1
UgxwR6LTyXkRd59v-b54AaABAg,Papi Mami,2023-07-04 22:50:43+00:00,nyata muldoko kosong,1
UgxsNS9fvpfp5AeFJDR4AaABAg,Adithia Al Aziz,2023-07-04 18:33:14+00:00,masyarakat tengah bawah mikir sih   beli biaya rumah   berapa sanggup ampere rumah masa iya pas charge cabut kulkas alat rumah   lain dulu lama waktu charging kursi sedikit harga mahal yah mending produk   dulu bengkel semua kota hitung harga jual semua kota punya station charge jalan indo banyak   terjal lubang sanggup   mungkin jalan kota   desa desa jalan jelek gimana,1
Ugzfgn5aI5fGl9Ofa4B4AaABAg,boheme t,2023-07-04 17:24:08+00:00,tesla malaysia launching   bilang tidak laku benar makin banyak malaysia singapore,2
UgxSF5gvQ8LS8rVTKnV4AaABAg,Jordan Nathanael,2023-07-04 11:43:21+00:00,  mau orang langsung pindah tutup subsidi bbm subsidi,0
UgyZf866phyUcDA_fIh4AaABAg,Nabila ramadan,2023-07-04 06:40:47+00:00,sekarang bagus si perintah langkah   lebih sedikit sedikit,1
Ugxzn4SVapJULd9qKuV4AaABAg,Rasev Putra,2023-07-04 06:24:03+00:00,  laku masyarakat   ganggu produsen   mikir   ogah,1
Ugwi1PNg7YGvtu9A7pt4AaABAg,Hardi firmansyah,2023-07-04 05:42:12+00:00,mending bensin hitung ama keluar mahal,1
Ugwp5g9tS5FJtdpuoZF4AaABAg,Mohita Official,2023-07-04 05:06:54+00:00,  jelas market mau high end   laku kayak avanza mana mau laku keras low end harga avanza segmen masyarakat low end harga high end   capai,0
Ugz_BdCDraQ9j59_e9d4AaABAg,Bagas Sri Indrantoro,2023-07-04 04:56:57+00:00,bingung sama perintah indonesia kalian pimpin rakyat indonesia karyawan usaha asing sih ngapain ngasih subsidi produk usaha asing   lebih prioritas   dapat subsidi perintah indonesia produk usaha lokal asli indonesia bukan produk asing   mampu beli golong kaya orang kaya   banyak duit sejak bayi lantas ngapain orang kaya kasih subsidi subsidi   relokasi   topang hidup golong   kurang mampu   lebih butuh subsidi banding orang kaya sekarang tanya negara asing mana   beri subsidi   produk indonesia   jual negara produk indonesia saing produk pasar negara dontbestupid,2
UgyRqQ0PQlEP_H9H35V4AaABAg,Georgie Honda,2023-07-04 04:42:32+00:00,design bajaj,2
UgzsjMr1ct_cQw-KSHl4AaABAg,Reed Wanadi,2023-07-04 03:11:37+00:00,harga baterai   capai harga daya tahan bahan timbang penting sih hitung ongkos per bulan mungkin lebih murah mirip bbm   masalah konvensional keluar bulan   lihat mahal diabnding   sekali ganti baterai bakal mirip kayak beli baru,1
Ugw-KESjj7Ufr8YreeF4AaABAg,rizaldy,2023-07-04 01:46:11+00:00,kurang laku karna station charge minim berapa jarak charge penuh habis bateri roda tempat service onderdil tanda tanya wajar baru orang ragu klau mau benar laku siap dahuluu poin atas,1
Ugz2oxxUhppXRhx9KIR4AaABAg,agus basuki,2023-07-04 00:56:09+00:00,si joko setijowarno ngawur bilang kendara pribadi larang lewat maksud operasi x bilang tinggal batu bara   polusi sangat tinggi tuju sih apa   sadar   guna isi daya kendara bagi besar pasok pltu   bahan bakar batu bara ni bisik perintah   sengsara rakyat   laku udh jangan paksa rakyat beli padahal sadar china   negara maju   butuh waktu tahun terap sampe  sekarang  juga belum sepenuh jalan bahkan banyak lihat   tadi ngebet beli padan batrenya rusak udh taruh gitu   karna batrenya mahal,1
UgxnJkPyLHbJxASF9354AaABAg,bang jali,2023-07-04 00:05:42+00:00,cara indonesia jngan pake batubara luhut,2
Ugw69JFobhxeo7sl51N4AaABAg,JinRoh 33,2023-07-03 15:21:22+00:00,semi bullshit ev,2
UgwNQonG307EG0zTtr94AaABAg,rhm,2023-07-03 14:20:14+00:00,fokus kendara umum mental,0
Ugyya9cic7MQls4nOF14AaABAg,DK,2023-07-03 13:41:15+00:00,transportasi umum jakarta lrt mrt bus kurang pada jangkau semua jalan jakarta terlalu sumpek macet jangan tambah tambah pribadi atau bbm benah dulu transportasi umum jalan jalan kecil bus bus layak ber ac,1
UgxpVFYPydCZZ8xCZnl4AaABAg,Rizky Toro,2023-07-03 10:30:50+00:00,  jadi masalah tempat chargernya   msih sedikit bykin tempat chargenya trus   ngecas cepat cepet laku  orang  mau beli mikir ngecasnya   jalan jauh,1
UgxTr4RYAAwwGmZW6-F4AaABAg,cybercodes,2023-07-03 09:20:15+00:00,gimana mau laku harga setinggi langit dealer buat harga enak,0
UgzlClokNMIlUxy6Gyh4AaABAg,Ayang Tan,2023-07-03 06:10:34+00:00,orang butuh mirah,1
UgyeACKCwCOzKjG8WZF4AaABAg,Wen Chia,2023-07-03 04:37:43+00:00,faktor indonesia jarak tempuh harga sangat mahal rakyat kecil infrastruktur suku cadang,1
UgyDJDC9oFxwgUIcQkl4AaABAg,Andy Walkman,2023-07-03 02:35:04+00:00,masalah bukan stasiun charging harga mahal juta mini beli bbm bagus,1
Ugw3kr9GVBq1mBFkGuN4AaABAg,Bejo Santoso,2023-07-02 23:15:48+00:00,  jelas jabat tri keluarga     suka kok nyuruh masyarakat beli lucu lucu,1
UgwjObEokqvFyWIewcp4AaABAg,aldi akbar,2023-07-02 14:49:26+00:00,subsidi gilir subsidi rakyat cabut semua subsidi makin sini makin liat arah,1
UgzdEeTYUMCABp3pa714AaABAg,anti homo,2023-07-02 13:10:47+00:00,ane sales moblis singkat kendara torsi gede awal power melempem nanjak cepat tinggi baterai gatcha kualitas tiap unit beda durabilitynya juga beda daya jelajah kurang suspensi kaki ringkih oleng stabil mesin berat konvensional baterai   rata letidak bawah bantu down force imbang cepat tinggi degan mulu tidakut mati jalan abis,1
UgxpSQuvHXdZavBykA54AaABAg,DMC Audio,2023-07-02 12:53:19+00:00,mau mau cepat lambat kendara ganti kendara bahan bakar fosil konversi teknologi awal selalu jadi tentang waktu debat tolol segera lupa,1
UgwyiFE870vCFWpnnF14AaABAg,Febri Permana,2023-07-02 12:10:49+00:00,lebih mndewakan motor manusia untung sua sepeda tiap kerja minggu wajib bike to work sekali berangkat p km desa kota total minggu tempuh km   sepeda   naik sepeda badan lemas ngantukan tempat kerja bike to work go green go cycling no global warning salam bike to work   mnjalankanya,0
UgzJRljZJJQGfpG8Bnt4AaABAg,deki darockman,2023-07-02 11:44:23+00:00,demokrat pikir  kok  mundur nama baru rakyat banyak tahu wajar perlu waktu jangan baru hambat dikit nyerah mental kerupuk,1
Ugyanj64I07fN_7xIqp4AaABAg,Ardliansyah Ramadhan,2023-07-02 11:16:51+00:00,utama kendara umum ubah kendara masyarakat nilai sendiri plus minus langsung,0
UgzJ03B3Poi722KHWj54AaABAg,Mr. Yanto,2023-07-02 11:03:45+00:00,coba harga puluh juta motor harga juta yakin banyak beli rusak jual rusak jual banyak second otomatis onderdil limpah,0
UgzhwyGcQnr9BaBBDCt4AaABAg,Ahlinya Ahli Pengamat,2023-07-02 09:28:03+00:00,charger menit km baru jos,2
UgyP0Jv8ySZ25prDmst4AaABAg,Golden moc,2023-07-02 08:03:43+00:00,  rakyat ingin jalan dulu benah baik luas panjang bukan dar membludaknya jumlah kendara jalan percuma baran tpi macet,0
UgxfIZU742a4iq7gIcB4AaABAg,Sudir Man,2023-07-02 07:38:31+00:00,bagaimna mau laku hrganya mahal negara pajak mahal langit   korupsi jalan jalan negara bnyk lubang,1
UgzXW_1nPDqrfiJmri54AaABAg,Ahmad Shobshob,2023-07-02 06:12:30+00:00,mungkin dg serentidak perintah guna kendara spy masyarakat contoh,0
UgxCVGYx8lIilUFEISd4AaABAg,rgjanssen,2023-07-02 06:07:25+00:00,paling mau minimal seater ukur compact suv   harga jangkau juta,0
Ugy5iSc6MUQ9wDmIwbR4AaABAg,SZE Neverland,2023-07-02 05:43:46+00:00,halah coma main sini desa desa tanyain usaha apa hasil berapa hidup   sulit   mau pecut pecut bapak pikir kerbau cocok hidung nurut nurut   gitu negara karna rakyat jan awal pecut batrai hp   drop om soak lagi mahal ramah rakyat tengah bawah lebih tuju orang orang kaya   usaha   gedw,1
Ugwj39A6rVeshDURMCp4AaABAg,Eko Andrian,2023-07-02 04:34:32+00:00,kendara cuma lahan kaya jabat,1
UgxtqvZIOyzYmbwa0mR4AaABAg,Rokhani,2023-07-02 04:28:53+00:00,cnbc benar punya siapa berita kok selalu kayak sono terus,1
UgxIJnnqlEi1tHvAUEB4AaABAg,Tio Sanjaya,2023-07-02 03:34:37+00:00,mau keluar kota cas dulu tunggu lama,1
UgwHSNMexuAsdHwHvTx4AaABAg,Mosi Mola mobu,2023-07-02 03:15:32+00:00,harga pajak sarana prasarana lebih murah banding bbm,0
Ugw-EIHhQu_OshEQIyh4AaABAg,Vorza Gaming,2023-07-02 03:13:00+00:00,jual duduk haduh jadiin transportadi umum dulu baru rakyat bakal susul nanti,2
Ugy0JrYd6PEStNBsv5p4AaABAg,Gusti Khairudin,2023-07-02 02:13:24+00:00,  mau keluar kota cas batere perintah sedia stasiun charger mau beli jangan cuma jual dong mas pemwrintah mikir mas mikir,1
Ugx6K9mUGDHj_JAF1hJ4AaABAg,Arief widjajawan,2023-07-02 02:02:26+00:00, orang  suruh gnti terus tasiun isi listrikny   masuk jalur pantura belum mogok jalan mau colok mana colok idung,1
Ugx2lg1n9VgeS6J7BPZ4AaABAg,Semoga Bermanfaat,2023-07-02 01:49:10+00:00,tarif pln turun,1
UgwFzymY9lFT-WVOv4Z4AaABAg,t-soft,2023-07-02 00:14:53+00:00,inti charging station super fast charging bayang semua alih ev pas mudik bakal kek apa rest area charging station macet   karuan,1
UgwHPYV5QTZeBto2GWN4AaABAg,Thicc Melons,2023-07-02 00:03:32+00:00,buat orang gunung bencana mahal bentuk jelek suara jelek lebih berat bahaya topografi tanjak contoh formula e badut motorsport,1
UgyGX7QNUeGW5mQg1854AaABAg,Lucky journey,2023-07-01 16:23:54+00:00,pake sama   bahan baku batubara,1
UgzyqrWIPUuR_BcB1RN4AaABAg,Niela Yt. art,2023-07-01 14:05:57+00:00,ingin rakyat si bbm baru mudah murah efisien rusak lingkung contoh tenaga angin tenaga air minum banyak   beli,0
UgwXhzmlPFWjshvslAp4AaABAg,nova nur afandi,2023-07-01 13:38:44+00:00,nyimak     ev kes paksa dila   laku jelas   bakal laku badut   tau masa datang mungkin,1
UgxZyJi_QAWbt5zPlyV4AaABAg,M. Azmi,2023-07-01 13:26:53+00:00,patut tesla investasi malaysia tesla tahu mampu beli warga indonesia rendah banding malaysia,1
Ugxd8CgI8y0YBJ7M8xJ4AaABAg,dedy su,2023-07-01 13:23:20+00:00,cukai mahal ev mau pakai angkut umum aman banyak begal yuyu dara kaos bikin aman dulu jagan ngurus   ribet dulu,1
UgwnBBRdIFb_ULIUVTd4AaABAg,al alegra,2023-07-01 13:15:44+00:00,kendara ratus juta kata murah tpi kok subsidi lucu subsidi  orang  kaya terus kalang bawah anggap apa,2
UgxkfTh4tZUrBpJ66od4AaABAg,ardian syah,2023-07-01 12:30:20+00:00,logika harga batrei cukup mahal misal  tahun  siap dana paruh harga biat ganti batrei,0
Ugy2UEbjpHAxHI1bdnl4AaABAg,Apca Ramdhan,2023-07-01 12:04:00+00:00,goblok   naek gunung fasilitas sarana tukar baterai   ujung dorong fasilitas dulu bangun baru dorong alih banyak korupsi sih jabat konoha anjing cuih goblok,1
UgzkleMnArZ1rlBXUbZ4AaABAg,Rizky Viral,2023-07-01 11:06:27+00:00, tetap      tuju ramah lingkung kendaran bahan bakar bensin kurang   makin sempit jalan macet jalan,1
UgxL8TNjMAAiLVvCblV4AaABAg,Hamzah Van,2023-07-01 10:36:31+00:00,kmarin inflasi naik bbm   mas belum solusi sampeksekarng apa kerja gaji   naik,0
